url,asin,priority_score,source,rank,category,title
https://www.amazon.ae/Samsung-Android-Smartphone-Upgrades-Processor/dp/B0FLDK4HHB,B0FLDK4HHB,115.0,movers_shakers,6,Mobile Phones & Communication Products,AED 284.49-AED 333.00
https://www.amazon.ae/UGREEN-Charger-Foldable-Samsung-Adapter/dp/B0CFFNTCRY,B0CFFNTCRY,115.0,movers_shakers,6,Mobile Phones & Communication Products,AED 75.00-AED 85.90
https://www.amazon.ae/Hasanat-Essentials-Radiator-Coolant-Antifreeze/dp/B0FBMJPKJ3,B0FBMJPKJ3,115.0,movers_shakers,6,Automotive,AED 20.00-AED 80.00
https://www.amazon.ae/Byson-Durable-Waterproof-Floor-Piece/dp/B0FN7T8HM7,B0FN7T8HM7,115.0,movers_shakers,6,Automotive,AED 38.00
https://www.amazon.ae/Batman-Arkham-Collection-Xbox-One/dp/B083T65GQX,B083T65GQX,115.0,movers_shakers,6,Videogames,AED 109.81
https://www.amazon.ae/SIE-PlayStation-Digital-Dualsense-Controller/dp/B0DDJSW1PT,B0DDJSW1PT,115.0,movers_shakers,6,Videogames,"AED 1,729.00-AED 2,338.80"
https://www.amazon.ae/Goldedge-Number-Inch-Balloons-Foil/dp/B0CJM3ND4D,B0CJM3ND4D,115.0,movers_shakers,6,Toys,AED 3.00
https://www.amazon.ae/Outdoor-Toddler-Birthday-Decoration-Princess/dp/B0F8RG4W81,B0F8RG4W81,115.0,movers_shakers,6,Toys,AED 82.99-AED 119.00
https://www.amazon.ae/PediaSure-Pediasure-Vanilla-360-g/dp/B0CQC6C7YK,B0CQC6C7YK,115.0,movers_shakers,6,Grocery,AED 39.95
https://www.amazon.ae/DUNLOP-DL601605-Dunlop-Tennis-Racquet/dp/B0DSC51NJQ,B0DSC51NJQ,115.0,movers_shakers,6,Sporting Goods,AED 28.96-AED 347.52
https://www.amazon.ae/Diary-Wimpy-Kid-Getaway-Book/dp/0141385251,0141385251,115.0,movers_shakers,6,Books,Paperback
https://www.amazon.ae/Fine-Deluxe-Toilet-Tissues-sheets/dp/B099R7WSRW,B099R7WSRW,115.0,movers_shakers,6,Health,AED 18.45
https://www.amazon.ae/Oral-B-CrissCross-manual-Toothbrush-Multicolor/dp/B00U7EEDXY,B00U7EEDXY,115.0,movers_shakers,6,Health,AED 17.40
https://www.amazon.ae/Haakaa-Colostrum-Collectors-Breastfeeding-Collect/dp/B08PV948PH,B08PV948PH,115.0,movers_shakers,6,Baby Products,AED 47.99
https://www.amazon.ae/PHILIPS-Avent-Without-Handle-Months/dp/B01N9ZANEV,B01N9ZANEV,115.0,movers_shakers,6,Baby Products,AED 44.00-AED 171.00
https://www.amazon.ae/Utopia-Home-Egg-Container-Refrigerator/dp/B09CD892PN,B09CD892PN,115.0,movers_shakers,6,Appliances,AED 50.00-AED 199.00
https://www.amazon.ae/Stylista-Waterproof-Washing-Machine-Compatible/dp/B083TYKGL4,B083TYKGL4,115.0,movers_shakers,6,Appliances,AED 51.00
https://www.amazon.ae/Keepinno-Cameras-Wireless-Security-Detection/dp/B09V36Y3P3,B09V36Y3P3,115.0,movers_shakers,6,Electronics,AED 24.70
https://www.amazon.ae/Philips-Universal-Extension-Protection-Certified/dp/B0FTZ21NVR,B0FTZ21NVR,115.0,movers_shakers,6,Electronics,AED 49.00-AED 79.00
https://www.amazon.ae/BIC-Cristal-Original-Ball-Pens/dp/B0F8R2J9JM,B0F8R2J9JM,115.0,movers_shakers,6,Office Products,AED 4.20
https://www.amazon.ae/HYFY-32x20x10cm-Magnetic-Foldable-Packaging/dp/B0D468D6C6,B0D468D6C6,115.0,movers_shakers,6,Office Products,AED 24.95
https://www.amazon.ae/NYX-Professional-Buttermelt-Resistant-Buildable/dp/B0CRSDMJPS,B0CRSDMJPS,115.0,movers_shakers,6,Beauty,AED 27.60-AED 84.81
https://www.amazon.ae/Falcon-EZUK-Vinyl-Gloves-Powder/dp/B09W5GHH85,B09W5GHH85,110.0,bestsellers,9,Tools & Home Improvement,AED 24.62
https://www.amazon.ae/Organizer-Bathroom-Rust-Resistant-Space-Saving-Solution/dp/B0DZH9SXPG,B0DZH9SXPG,110.0,bestsellers,9,Tools & Home Improvement,AED 31.49
https://www.amazon.ae/Samsung-Smart-TV-Remote-Control-Replacement-BN59-01385A-BN59-01391A-BP59-00149A/dp/B0FDWRHCYH,B0FDWRHCYH,110.0,bestsellers,9,Electronics,AED 49.98
https://www.amazon.ae/Salama-Extended-Warranty-Appliance-AED499-99/dp/B09PRVRV9M,B09PRVRV9M,110.0,movers_shakers,7,Electronics,AED 25.00
https://www.amazon.ae/Soundcore-Cancelling-Headphones-Bluetooth-Transparency/dp/B0C3HCD34R,B0C3HCD34R,110.0,bestsellers,9,Electronics,AED 119.00
